Recency,Frequency,Monetary,R,F,M
545,1,11.77,1,1,1
534,1,89.0,1,1,3
33,6,156.46,4,4,4
200,4,100.5,4,4,3
178,11,385.61,4,4,4
545,1,20.99,1,1,2
100,3,264.67,4,3,4
93,7,197.66,4,4,4
22,3,95.85,4,3,3
525,1,39.31,1,1,2
130,4,58.55,4,4,3
545,1,57.06,1,1,3
545,1,72.94,1,1,3
545,1,29.92,1,1,2
545,1,52.87,1,1,3
293,4,79.87,3,4,3
545,1,73.22,1,1,3
542,1,14.96,1,1,1
385,2,175.12,3,3,4
528,2,653.01,1,3,4
533,2,75.11,1,3,3
545,1,14.37,1,1,1
545,1,24.74,1,1,2
161,2,57.77,4,3,3
22,8,137.53,4,4,4
520,2,102.69,1,3,3
534,2,135.87,1,3,4
479,3,90.99,2,3,3
65,11,435.81,4,4,4
501,2,28.34,2,3,2
36,4,177.05,4,4,4
111,3,78.21,4,3,3
109,25,1045.47,4,4,4
545,1,23.14,1,1,2
276,2,42.22,3,3,2
512,2,49.68,1,3,3
48,6,155.68,4,4,4
545,1,12.49,1,1,1
111,5,221.45,4,4,4
114,11,318.94,4,4,4
545,1,17.99,1,1,1
544,2,38.32,1,3,2
37,5,117.32,4,4,4
376,3,59.65,3,3,3
545,1,14.37,1,1,1
230,7,315.87,3,4,4
24,20,427.8,4,4,4
17,20,649.93,4,4,4
545,1,27.94,1,1,2
545,1,6.79,1,1,1
211,5,367.38,3,4,4
53,8,445.68,4,4,4
57,6,86.21,4,4,3
545,1,33.96,1,1,2
536,2,81.45,1,3,3
195,4,129.19,4,4,4
545,1,57.86,1,1,3
545,1,20.99,1,1,2
521,3,36.53,1,3,2
514,1,21.75,1,1,2
545,1,155.65,1,1,4
244,11,237.15,3,4,4
40,4,120.91,4,4,4
5,13,367.37,4,4,4
100,3,68.74,4,3,3
545,1,39.99,1,1,2
529,3,71.49,1,3,3
545,1,40.36,1,1,2
542,2,217.08,1,3,4
545,1,72.23,1,1,3
545,1,13.97,1,1,1
545,1,11.99,1,1,1
471,3,94.57,3,3,3
545,1,41.99,1,1,2
545,1,69.81,1,1,3
545,1,9.99,1,1,1
545,1,12.97,1,1,1
68,2,95.26,4,3,3
545,1,77.44,1,1,3
545,1,43.46,1,1,2
276,14,430.69,3,4,4
81,6,242.8,4,4,4
73,4,101.68,4,4,3
545,1,13.97,1,1,1
543,1,26.31,1,1,2
545,1,23.94,1,1,2
265,4,206.55,3,4,4
251,2,34.97,3,3,2
20,18,571.88,4,4,4
538,2,24.67,1,3,2
545,1,32.54,1,1,2
440,2,53.34,3,3,3
543,2,219.33,1,3,4
544,1,44.1,1,1,3
6,28,1515.27,4,4,4
3,19,1445.99,4,4,4
94,4,324.75,4,4,4
403,2,76.46,3,3,3
196,7,267.25,4,4,4
71,3,55.24,4,3,3
528,1,23.54,1,1,2
121,4,157.47,4,4,4
74,3,110.49,4,3,4
545,1,14.96,1,1,1
545,1,35.31,1,1,2
150,6,202.1,4,4,4
545,1,21.99,1,1,2
545,1,17.96,1,1,1
513,2,204.46,1,3,4
545,1,27.94,1,1,2
10,16,1107.04,4,4,4
510,2,23.54,1,3,2
115,3,59.67,4,3,3
139,5,124.93,4,4,4
545,1,13.97,1,1,1
545,1,12.77,1,1,1
103,3,58.97,4,3,3
371,2,73.85,3,3,3
545,1,41.69,1,1,2
194,5,103.51,4,4,3
545,1,12.49,1,1,1
545,1,27.74,1,1,2
545,1,31.99,1,1,2
200,5,138.35,4,4,4
22,6,108.64,4,4,4
210,2,302.75,3,3,4
545,1,39.71,1,1,2
331,4,67.86,3,4,3
545,1,12.49,1,1,1
62,8,120.95,4,4,4
545,1,30.32,1,1,2
50,6,302.43,4,4,4
231,7,199.17,3,4,4
173,3,49.38,4,3,3
545,1,84.39,1,1,3
216,2,81.96,3,3,3
545,1,27.73,1,1,2
545,1,14.99,1,1,1
540,1,11.77,1,1,1
423,2,44.06,3,3,3
54,7,147.75,4,4,4
80,5,122.39,4,4,4
545,1,41.48,1,1,2
545,1,30.72,1,1,2
31,22,521.96,4,4,4
545,1,13.97,1,1,1
199,7,288.07,4,4,4
